"subject","label","tBodyAcc mean   X","tBodyAcc mean   Y","tBodyAcc mean   Z","tBodyAcc std   X","tBodyAcc std   Y","tBodyAcc correlation   Y Z","tGravityAcc mean   X","tGravityAcc mean   Y","tGravityAcc mean   Z","tGravityAcc std   X","tGravityAcc std   Y","tGravityAcc correlation   Y Z","tBodyAccJerk mean   X","tBodyAccJerk mean   Y","tBodyAccJerk mean   Z","tBodyAccJerk std   X","tBodyAccJerk std   Y","tBodyAccJerk correlation   Y Z","tBodyGyro mean   X","tBodyGyro mean   Y","tBodyGyro mean   Z","tBodyGyro std   X","tBodyGyro std   Y","tBodyGyro correlation   Y Z","tBodyGyroJerk mean   X","tBodyGyroJerk mean   Y","tBodyGyroJerk mean   Z","tBodyGyroJerk std   X","tBodyGyroJerk std   Y","tBodyGyroJerk correlation   Y Z","tBodyAccMag mean  ","tBodyAccMag arCoeff  4","tGravityAccMag mean  ","tGravityAccMag arCoeff  4","tBodyAccJerkMag mean  ","tBodyAccJerkMag arCoeff  4","tBodyGyroMag mean  ","tBodyGyroMag arCoeff  4","tBodyGyroJerkMag mean  ","tBodyGyroJerkMag arCoeff  4","fBodyAcc mean   X","fBodyAcc mean   Y","fBodyAcc mean   Z","fBodyAcc std   X","fBodyAcc std   Y","fBodyAcc maxInds Z","fBodyAcc meanFreq   X","fBodyAcc meanFreq   Y","fBodyAcc bandsEnergy   25 48 2","fBodyAccJerk mean   X","fBodyAccJerk mean   Y","fBodyAccJerk mean   Z","fBodyAccJerk std   X","fBodyAccJerk std   Y","fBodyAccJerk maxInds Z","fBodyAccJerk meanFreq   X","fBodyAccJerk meanFreq   Y","fBodyAccJerk bandsEnergy   25 48 2","fBodyGyro mean   X","fBodyGyro mean   Y","fBodyGyro mean   Z","fBodyGyro std   X","fBodyGyro std   Y","fBodyGyro maxInds Z","fBodyGyro meanFreq   X","fBodyGyro meanFreq   Y","fBodyGyro bandsEnergy   25 48 2","fBodyAccMag mean  ","fBodyAccMag maxInds","fBodyAccMag kurtosis  ","fBodyBodyAccJerkMag mean  ","fBodyBodyAccJerkMag maxInds","fBodyBodyAccJerkMag kurtosis  ","fBodyBodyGyroMag mean  ","fBodyBodyGyroMag maxInds","fBodyBodyGyroMag kurtosis  ","fBodyBodyGyroJerkMag mean  ","fBodyBodyGyroJerkMag maxInds"
1,"LAYING",0.0848764675,-0.0455102567154,-0.1033663949,-0.17453722646,-0.09535365078,0.14607657118,0.67585341798,-0.04022461982,0.04936842492754,-0.7921127456,-0.81360800926,0.313118413912,0.137098246898,0.009366633628,0.024699890376,-0.3319091908,-0.3309604021,0.22532239448,0.0356437105358,-0.1397636023046,0.15448814926,-0.50488032654,-0.402702391726,0.002794461612,-0.043139751072,-0.0687217514586,-0.10285071324,-0.52428349896,-0.6003231544,-0.131678682564,-0.0755823895388,0.079836340006,-0.0755823895388,0.079836340006,-0.361274656244,-0.104291051456,-0.19180563722,-0.086149497998,-0.5601602416,-0.152199241628,-0.220735783862,-0.1594019504,-0.35079241768,-0.15868989362,-0.124873753598,-0.7769230756,-0.43518626438,-0.088771489892,-0.8898618444,-0.3601869083,-0.35496739372,-0.5282380848,-0.36368655952,-0.35132561066,-0.4272,-0.241256336678,-0.35738288932,-0.894068531,-0.40261877382,-0.44647236684,-0.315115158196,-0.539605474874,-0.386906579344,-0.8248275858,-0.144922020162,-0.162753270202,-0.8963945678,-0.151871574912,-0.6813793098,-0.637757520286,-0.30744510314,-0.9053968228,-0.53047044766,-0.44676366534,-0.9097435898,-0.56008852186,-0.5895525702,-0.88888888698
1,"SITTING",0.0450448361446808,-0.0142649397,-0.0737373139191489,-0.330036128329787,-0.214836288808511,0.189911567285106,0.587090694914894,0.0750985135319149,0.076102846693617,-0.761945285659574,-0.810605097446809,0.230992433582979,0.155371533255319,0.060589759293617,-0.00411099901914894,-0.482810278114894,-0.466546358553191,0.130383711957447,0.0420599125829787,-0.0833353356382979,0.125204542361702,-0.565977400425532,-0.582620239319149,-0.0263454260425532,-0.0636566220842553,-0.068047868893617,-0.129011005214426,-0.610281704617021,-0.73349978212766,-0.130626130085106,-0.174577705723404,0.163080806044681,-0.174577705723404,0.163080806044681,-0.509748945778723,-0.0798680548085106,-0.36449836187234,-0.052905591006383,-0.687165873404255,-0.101365813331915,-0.385629753829787,-0.284963873021277,-0.438423130042553,-0.31049564132766,-0.232786652493617,-0.860883795957447,-0.416134403210638,-0.0501484562404255,-0.945538373829787,-0.497065732693617,-0.489933868817021,-0.65080074212766,-0.515515373025532,-0.478248769172766,-0.579574468085106,-0.191748362168511,-0.369549014465957,-0.952873273404255,-0.493683077851064,-0.604404252519149,-0.475323890531915,-0.591890226595745,-0.57641335112766,-0.863536316595745,-0.172183513204255,-0.18814813793766,-0.957342811914894,-0.282917524361702,-0.718268524893617,-0.307056654410638,-0.464868536742553,-0.917595405106383,-0.557394440148936,-0.556489817659575,-0.915984724893617,-0.590063304765957,-0.708080759361702,-0.890577505957447
1,"STANDING",-0.143899926415094,-0.0766989900449057,0.0255170666773585,-0.284739131886792,-0.132333162058491,0.103641649981132,0.367525538792453,0.194337694560377,0.259531293021698,-0.467112476698113,-0.68916705845283,0.0455670247690566,0.243296083390566,-0.0754340928332075,-0.0620451771981132,-0.53788343784434,-0.472165794392453,0.166961034335849,-0.0204713557315094,-0.145921299984906,0.183165793769811,-0.558294918735849,-0.605356708679245,-0.0981362860377358,-0.055990842154717,-0.0725921274018868,-0.102574883507547,-0.640997611698113,-0.731005074264151,-0.110872038830189,-0.0822122743773585,0.14493038129434,-0.0822122743773585,0.14493038129434,-0.548734786283019,-0.0165227946320755,-0.370237880716981,-0.0173194842584906,-0.698623726188679,-0.180020818681132,-0.359656805698113,-0.238848459301887,-0.449323823890566,-0.259199427741509,-0.140606240962264,-0.880986936603774,-0.479325439811321,-0.118947802198113,-0.938671093018868,-0.547065994169811,-0.494509224226415,-0.657220486226415,-0.570861364,-0.484398290018868,-0.532075471698113,-0.213997716849057,-0.395358262886792,-0.944499838301887,-0.502962194892453,-0.618079254735849,-0.482766188501887,-0.579690188811321,-0.604653907169811,-0.868575146226415,-0.218744744830189,-0.156064496924717,-0.93703031509434,-0.185664854324528,-0.767078724150943,-0.267534499686792,-0.488236031392453,-0.928122190754717,-0.488359030760377,-0.549982626773585,-0.912917271509434,-0.540140639601887,-0.707068322490566,-0.924528300566038
1,"WALKING",0.114741174210526,-0.0189265789973684,-0.117597451852632,-0.177458082894737,-0.0266499618677895,0.126952499621053,0.779076945273684,-0.109662967592,-0.036572574932,-0.884537496421053,-0.830084254905263,0.227584950536842,0.0975253938926316,0.0158562691350526,-0.0274514939673684,-0.30027724706,-0.297263883309474,0.129026994695789,0.0217043035726316,-0.121057623395789,0.0721483758185263,-0.482763010347368,-0.406742813871579,0.000815326609263161,-0.0749755120401053,-0.0959614292573684,-0.0840664953294737,-0.510616935098947,-0.610781862010526,-0.112889491015263,-0.0702624991484211,0.0870406597945263,-0.0702624991484211,0.0870406597945263,-0.344490061882105,-0.0505790526176842,-0.215179279806526,-0.02183709726,-0.564810978105263,-0.111712143414737,-0.222218189294737,-0.0972903128178947,-0.337650930326316,-0.162485266441053,-0.0559972906915789,-0.845344128315789,-0.457953894896842,-0.0785063839451579,-0.923108947789474,-0.318693490154737,-0.325724803362105,-0.525910752084211,-0.345855457383158,-0.315674647062105,-0.490947368421053,-0.229543183494737,-0.392299049646316,-0.925370754421053,-0.388403313578947,-0.445894238652632,-0.321418272778947,-0.515873803904211,-0.394524749977895,-0.801814881473684,-0.146508126445263,-0.193800604068421,-0.934460805368421,-0.124921827616842,-0.622504536852632,-0.585955410673684,-0.269884589030526,-0.899749370421053,-0.517391952284211,-0.428801370507368,-0.902834008947368,-0.592585727378947,-0.593663069689474,-0.896407684
1,"WALKING_DOWNSTAIRS",0.132622637959184,-0.0407809665463265,-0.103693423742857,-0.126933058591837,-0.0416144540408163,0.132816809791837,0.767356713653061,-0.169791073816327,0.0203173501959184,-0.866863149183673,-0.885839795387755,0.137709410530612,0.078285373755102,0.0420604942612245,-0.0533645691632653,-0.260967449593878,-0.255182125146939,0.220055857834694,0.00391681663265306,-0.132378785897959,0.132898271782653,-0.450891630020408,-0.337848250897959,-0.0220374234693878,-0.115387133381633,-0.119355152981633,-0.118194364306122,-0.491053023877551,-0.56472461022449,-0.144586250528571,-0.037026212355102,0.108825605481633,-0.037026212355102,0.108825605481633,-0.313093601328571,-0.0545266253265306,-0.154381187067347,0.00187608361530612,-0.525012068510204,-0.0809575329142857,-0.150718672402041,-0.0963064049612245,-0.325865612089796,-0.120643415612245,-0.0767587024489796,-0.849293561836735,-0.373862279002857,-0.0615977371632653,-0.914933642734694,-0.279419131355102,-0.285502992461225,-0.500606262326531,-0.31038455282449,-0.274815857142857,-0.457142857142857,-0.250568801346939,-0.394591903755102,-0.915359330142857,-0.356264552530612,-0.380087714895918,-0.262455233836735,-0.484482166244898,-0.326090616081633,-0.756509500387755,-0.181091979734694,-0.150002436157143,-0.922917537142857,-0.107242813755102,-0.642505277346939,-0.65814828555102,-0.227709416408163,-0.895691606938775,-0.479167990857143,-0.371758590106122,-0.861852433877551,-0.595232532367347,-0.560869137040816,-0.852931647040816
1,"WALKING_UPSTAIRS",0.136895030754717,-0.00909708329528302,-0.101383739924528,-0.135577041073585,0.0161726446069811,0.0893607117924528,0.893630548867924,-0.198497249056604,-0.0700007558981132,-0.937461444150943,-0.885563284679245,0.00901614177735848,0.0972143091075472,-0.0200111771264151,0.0202767690132075,-0.264176615620755,-0.245073173660377,0.114625085441509,-0.106062906879245,-0.043566791890566,0.0876377096356604,-0.389926651396226,-0.332868157320755,0.0423767886773585,-0.0721139035411321,-0.122872632528302,-0.0938839888301887,-0.507887125490566,-0.585325895449057,-0.0586857284075472,-0.0277722458867925,0.0693411715962264,-0.0277722458867925,0.0693411715962264,-0.299633174056604,-0.0495030068339623,-0.132999166981132,-0.00652661379245283,-0.537905943584906,-0.101336290856415,-0.172228928771698,-0.0471175254132075,-0.280072749160377,-0.123084058373208,-0.0207613065924528,-0.824383162132075,-0.438403865245283,-0.0865968422264151,-0.916222996792453,-0.291491082650943,-0.277089562371698,-0.474031165509434,-0.30307702554717,-0.263675422283019,-0.462641509433962,-0.316288835345283,-0.431838004445283,-0.921881372641509,-0.322379833867925,-0.384623902943396,-0.245409447584906,-0.417474038277358,-0.313349863226415,-0.77358490490566,-0.220665322471698,-0.203220593739623,-0.937007219811321,-0.0926184704528302,-0.608327910943396,-0.652996398471698,-0.230843495188679,-0.896975139245283,-0.517174310279245,-0.371275492188679,-0.880019351698113,-0.609697068056604,-0.561472803113208,-0.882000596981132
2,"LAYING",0.285664219583333,-0.0193375995025,-0.1110361568125,-0.702792858825,-0.5661260315,0.172928017258333,0.620801036666667,-0.0441592646666667,0.0873685981333333,-0.974317944583333,-0.970158733958333,0.104575491708333,0.05747973908125,0.0115981692302083,-0.00171428344741667,-0.7056364465,-0.657699341270833,0.0785723200366667,-0.0435405499427083,-0.0670128670625,0.0786532048979167,-0.735770699270833,-0.758913428125,-0.0964695356458333,-0.109885977875,-0.0425833752145833,-0.0724028836020833,-0.759349775916667,-0.827581004166667,-0.131261304395833,-0.639510814125,-0.05261334274375,-0.639510814125,-0.05261334274375,-0.709400506041667,-0.0712265385375,-0.659781941916667,-0.03360959390625,-0.800205518541667,-0.152983562216667,-0.7090579360125,-0.601195696375,-0.728280335583333,-0.7009584465,-0.576015457895833,-0.8701923069375,-0.247219487339583,-0.0899305097395833,-0.972140174166667,-0.718988628895625,-0.680850353979167,-0.792380786458333,-0.718819995833333,-0.655714207791667,-0.36,-0.0130815048958333,-0.245424328516667,-0.974703306041667,-0.706199229708333,-0.766459053125,-0.691269759125,-0.747154336416667,-0.757551048541667,-0.829022988541667,-0.18567397575625,-0.242560308097292,-0.975739512916667,-0.670152719979167,-0.80747126375,-0.633354000416667,-0.6852379434375,-0.900793649583333,-0.577453563625,-0.745862522541667,-0.900641026458333,-0.5360478508125,-0.817677674166667,-0.884259258333333
2,"SITTING",0.28538776673913,-0.0145264530278261,-0.112183602369565,-0.816356957521739,-0.734954042130435,-0.00606730885652174,0.446358686521739,0.101657807102174,0.213213045434783,-0.981324757391304,-0.970945734347826,-0.121728276282609,0.0508609183956522,0.00392706982195652,0.0301401500897826,-0.817366839523913,-0.780018514404348,0.0427685550608696,-0.0328211340391304,-0.0724492194065217,0.082745558326087,-0.851911334130435,-0.827974740628261,-0.142400210891304,-0.110978115586957,-0.0357307414869565,-0.0662827829347826,-0.862331823478261,-0.878400505869565,-0.108095627852174,-0.780659941728261,-0.107957171232609,-0.780659941728261,-0.107957171232609,-0.819940177565217,0.0267109138330435,-0.784710201956522,-0.139548661717391,-0.871656231956522,-0.0838785123510652,-0.820133536130435,-0.744449567556522,-0.824491507608696,-0.815470758422174,-0.746862559304348,-0.867892975717391,-0.202376712665217,-0.00827494109347826,-0.973040462391304,-0.828137259326087,-0.790918839369565,-0.859683256130435,-0.823046816913043,-0.783163433804348,-0.30695652173913,0.0357793674065217,-0.132655340619565,-0.975083334782609,-0.832250784493478,-0.83746488323913,-0.809131748086957,-0.859352573369565,-0.824379369978261,-0.850074962391304,-0.121486905865217,-0.235131220782609,-0.986172439565217,-0.780421324047826,-0.87106446673913,-0.506511963334783,-0.794763091423043,-0.913043477826087,-0.636513263804348,-0.834158287891304,-0.936454849347826,-0.404790331913043,-0.875473038478261,-0.925465838695652
2,"STANDING",0.285077697592593,-0.0138075553666667,-0.115643086446296,-0.793602023798148,-0.720318914203704,0.0633375468703704,0.540105304722222,0.0941733482037037,0.196563336240741,-0.981614835740741,-0.966868923888889,-0.0021010057962963,0.101023885111111,-0.0168398738225926,-0.02471385793,-0.804997088851852,-0.780861318925926,0.0771694557462963,-0.0194963246185185,-0.0799263945925926,0.0713564348703704,-0.848143270555556,-0.798501938444444,-0.124305152442593,-0.11316444437037,-0.0231379444296296,-0.0584652008814815,-0.850720996481481,-0.857334134388889,-0.133515230651852,-0.746901098296296,-0.117541441425926,-0.746901098296296,-0.117541441425926,-0.806309771425926,-0.0637991879407407,-0.766677148759259,-0.0102553094074074,-0.860768739259259,-0.0904354868851852,-0.799752688537037,-0.740815935348148,-0.788767355277778,-0.791753570722222,-0.727851787203704,-0.901709400925926,-0.236056841945185,0.0113836558296296,-0.980443836666667,-0.815614797425926,-0.793924579375926,-0.839911987759259,-0.811484373648148,-0.781844395701852,-0.28962962962963,0.000680524074074074,-0.164985517288889,-0.981384300925926,-0.821107978333333,-0.805284875814815,-0.80016255,-0.85800898962963,-0.798577526814815,-0.867177522018518,-0.0648701374611111,-0.224961148518519,-0.985852887037037,-0.763593735925926,-0.821200510740741,-0.527497675703704,-0.787444060555556,-0.864197529814815,-0.604120021037037,-0.810842362407407,-0.924026591111111,-0.498027306592593,-0.85734057287037,-0.915931803888889
2,"WALKING",0.285963468813559,-0.0159336766311864,-0.105595024525424,-0.748779373050847,-0.646051598659322,0.0374803899847458,0.561632472491525,0.0705957475135593,0.207331961838983,-0.97668365440678,-0.963755426440678,0.0138650493728814,0.0722050125038983,-0.0166045097569492,0.0120170567620339,-0.759769420372881,-0.724064076254237,0.0304643959767797,-0.0274214321166102,-0.0719748838372881,0.0808049992135593,-0.802436611694915,-0.767352943779661,-0.19708945109661,-0.101508992627119,-0.0369421669525424,-0.0445327194647458,-0.81278076320339,-0.855691048,-0.0891030181542373,-0.692129846474576,-0.0553062923677966,-0.692129846474576,-0.0553062923677966,-0.760812653452542,0.0179581527762712,-0.709160237425254,-0.0368839782033898,-0.834356573067797,-0.136091226340678,-0.754416833372881,-0.673929950677966,-0.749386516762712,-0.747689221644068,-0.655076842723729,-0.831812255084746,-0.214239669084746,0.0229792099939831,-0.970763993898305,-0.772680959677966,-0.741446280055932,-0.814553017,-0.768533806338983,-0.723983858355932,-0.274576271186441,-0.0130574474830508,-0.179887252271186,-0.973765769152542,-0.766592499152542,-0.78849657559322,-0.741995610542373,-0.815237557118644,-0.759175121559322,-0.836353009644068,-0.069907491310339,-0.207846945118644,-0.981756857966102,-0.719558578474576,-0.857393336949153,-0.596334926288136,-0.743398673813559,-0.837503362033898,-0.644735504220339,-0.776971818923729,-0.868752716779661,-0.545489394542373,-0.848845110152542,-0.91337099779661
